month,division,line,period,num_passengers,additional_platform_time,additional_train_time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer_journey_time
2024-02-01T00:00:00.000,B DIVISION,S Rock,peak,16473.3,0.5079836,-1.1952616,8368.166,-19689.902,1306.6,0.07931623,0.9206838
2024-02-01T00:00:00.000,B DIVISION,W,offpeak,1048831.6,1.1117465,0.34833553,1166034.9,365345.3,145099.3,0.13834375,0.86165625
2024-02-01T00:00:00.000,B DIVISION,W,peak,1191309.0,1.3397795,0.23336105,1596091.4,278005.12,132813.1,0.11148501,0.888515
2024-03-01T00:00:00.000,A DIVISION,1,offpeak,3474451.2,1.016985,0.7020681,3533465.0,2439301.5,430156.6,0.12380562,0.87619436
2024-03-01T00:00:00.000,A DIVISION,1,peak,3775813.2,1.1845832,0.64267576,4472764.5,2426623.5,453406.8,0.120081894,0.8799181
2024-03-01T00:00:00.000,A DIVISION,2,offpeak,2864859.0,1.3096981,0.6139954,3752100.5,1759010.1,498044.8,0.17384619,0.8261538
2024-03-01T00:00:00.000,A DIVISION,2,peak,3312437.2,1.0905586,0.302894,3612407.0,1003317.4,390890.0,0.118006766,0.88199323
2024-03-01T00:00:00.000,A DIVISION,3,offpeak,2151962.0,0.938464,0.38574964,2019538.8,830118.56,271962.9,0.12637904,0.8736209
2024-03-01T00:00:00.000,A DIVISION,3,peak,2534521.8,0.8464304,0.31388405,2145296.2,795546.0,247333.8,0.09758598,0.902414
2024-03-01T00:00:00.000,A DIVISION,4,offpeak,3791531.0,1.1262856,0.5981709,4270346.5,2267983.5,567935.0,0.1497904,0.8502096
2024-03-01T00:00:00.000,A DIVISION,4,peak,3884511.8,1.0818566,0.7455222,4202485.0,2895989.8,552172.5,0.1421472,0.8578528
2024-03-01T00:00:00.000,A DIVISION,5,offpeak,2653561.5,1.3673704,0.7731182,3628401.2,2051516.6,424700.7,0.16004932,0.8399507
2024-03-01T00:00:00.000,A DIVISION,5,peak,3381167.2,1.1398666,0.58138895,3854079.5,1965773.1,467132.5,0.13815717,0.8618428
2024-03-01T00:00:00.000,A DIVISION,6,offpeak,5298554.0,1.6328495,0.85781807,8651741.0,4545195.5,883763.5,0.16679333,0.83320665
2024-03-01T00:00:00.000,A DIVISION,6,peak,5690562.0,1.7577068,1.1040359,10002340.0,6282584.5,1001136.5,0.17592928,0.82407075
